file: /dev/rdsk/c1t5000CCA0805CC741d0s2
size: 0x1177082f400
buffer size: 8192
writers: 2
readers: 0
using initial write LBA: 0x8bb8416000
                TIME  NREADS RDLATus  NWRITE WRLATus          WRLBA WR
2017-11-03T20:45:11Z       0       0 22551260      91 0x00b6bb9d2000  0
2017-11-03T20:45:12Z       0       0 22572319      91 0x00b6c5e58000  0
2017-11-03T20:45:13Z       0       0 22594237      91 0x00b6d0994000  0
2017-11-03T20:45:14Z       0       0 22616450      91 0x00b6db71e000  0
2017-11-03T20:45:15Z       0       0 22637923      91 0x00b6e5ee0000  0
2017-11-03T20:45:16Z       0       0 22658748      91 0x00b6f0192000  0
2017-11-03T20:45:17Z       0       0 22679572      91 0x00b6fa442000  0
2017-11-03T20:45:18Z       0       0 22700913      91 0x00b704afc000  0
2017-11-03T20:45:19Z       0       0 22722665      91 0x00b70f4ec000  0
2017-11-03T20:45:20Z       0       0 22744023      91 0x00b719bc8000  0
2017-11-03T20:45:21Z       0       0 22764728      91 0x00b723d8a000  0
2017-11-03T20:45:22Z       0       0 22785671      91 0x00b72e128000  0
2017-11-03T20:45:23Z       0       0 22807607      91 0x00b738c88000  0
2017-11-03T20:45:24Z       0       0 22829944      91 0x00b743b0a000  0
2017-11-03T20:45:25Z       0       0 22851532      91 0x00b74e3b2000  0
2017-11-03T20:45:26Z       0       0 22872591      91 0x00b758838000  0
2017-11-03T20:45:27Z       0       0 22893650      91 0x00b762cbe000  0
2017-11-03T20:45:28Z       0       0 22915631      91 0x00b76d878000  0
2017-11-03T20:45:29Z       0       0 22937589      91 0x00b778404000  0
2017-11-03T20:45:30Z       0       0 22958518      91 0x00b782786000  0
2017-11-03T20:45:31Z       0       0 22979342      91 0x00b78ca36000  0
2017-11-03T20:45:32Z       0       0 23000259      91 0x00b796da0000  0
2017-11-03T20:45:33Z       0       0 23022013      91 0x00b7a1794000  0
2017-11-03T20:45:34Z       0       0 23043894      91 0x00b7ac286000  0
2017-11-03T20:45:35Z       0       0 23065006      91 0x00b7b6776000  0
2017-11-03T20:45:36Z       0       0 23085950      91 0x00b7c0b16000  0
2017-11-03T20:45:37Z       0       0 23106893      91 0x00b7caeb4000  0
2017-11-03T20:45:38Z       0       0 23128641      91 0x00b7d589c000  0
2017-11-03T20:45:39Z       0       0 23150599      91 0x00b7e0428000  0
2017-11-03T20:45:40Z       0       0 23172037      91 0x00b7eaba4000  0
2017-11-03T20:45:41Z       0       0 23193096      91 0x00b7f502a000  0
2017-11-03T20:45:42Z       0       0 23214154      91 0x00b7ff4ae000  0
2017-11-03T20:45:43Z       0       0 23235916      91 0x00b809eb2000  0
2017-11-03T20:45:44Z       0       0 23258129      91 0x00b814c3c000  0
2017-11-03T20:45:45Z       0       0 23279773      91 0x00b81f554000  0
2017-11-03T20:45:46Z       0       0 23300286      91 0x00b829596000  0
2017-11-03T20:45:47Z       0       0 23320898      91 0x00b83369e000  0
2017-11-03T20:45:48Z       0       0 23341885      91 0x00b83da94000  0
2017-11-03T20:45:49Z       0       0 23363426      91 0x00b8482de000  0
2017-11-03T20:45:50Z       0       0 23384972      91 0x00b852b32000  0
2017-11-03T20:45:51Z       0       0 23405489      91 0x00b85cb7c000  0
2017-11-03T20:45:52Z       0       0 23426434      91 0x00b866f1c000  0
2017-11-03T20:45:53Z       0       0 23446616      91 0x00b870cca000  0
2017-11-03T20:45:54Z       0       0 23468466      91 0x00b87b77e000  0
2017-11-03T20:45:55Z       0       0 23490343      91 0x00b886268000  0
2017-11-03T20:45:56Z       0       0 23511199      91 0x00b890558000  0
2017-11-03T20:45:57Z       0       0 23532258      91 0x00b89a9de000  0
2017-11-03T20:45:58Z       0       0 23553199      91 0x00b8a4d78000  0
2017-11-03T20:45:59Z       0       0 23574952      91 0x00b8af76a000  0
2017-11-03T20:46:00Z       0       0 23596932      91 0x00b8ba322000  0
2017-11-03T20:46:01Z       0       0 23617689      91 0x00b8c454c000  0
2017-11-03T20:46:02Z       0       0 23638086      91 0x00b8ce4a6000  0
2017-11-03T20:46:03Z       0       0 23658603      91 0x00b8d84f0000  0
2017-11-03T20:46:04Z       0       0 23680145      91 0x00b8e2d3c000  0
2017-11-03T20:46:05Z       0       0 23701564      91 0x00b8ed492000  0
